id,vp_building_id,name,description,summary,address,city,postal_code,state_id,website,gla,acres,lat,longitude,leasing_contact_phone,leasing_contact_name,leasing_contact_address,leasing_contact_email,property_overview,property_status,management_type,project_type,property_type,dma,year_built,renovation,traffic_count,occupancy_rate,owner,acquisition_date,disposition_date,created,modified,deleted,user_id,version_number,last_published,publish_status,vp_description,vp_publish_status,property_id,marker_y,marker_x,flickr_url
2,636,7-Hi Shopping Center,,,,Minnetonka,,29,,36226,55,-93.50369,44.9138,,,,,,,Managed,,Community,"Minneapolis-St. Paul, MN-WI",1964,1993,"41,000",100\%,7-Hi Retail LLC,,,,5/17/07 14:37,5/17/07 14:37,38,3,5/17/07 14:20,Published,,Publish,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 14:58,5/17/07 14:58,10/31/07 13:09,,1,,Inactive,,Publish,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 14:59,5/17/07 14:59,10/31/07 13:09,,1,,Inactive,,Publish,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 15:02,5/17/07 15:02,10/31/07 13:09,,1,,Inactive,,Publish,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 15:03,5/17/07 15:03,10/31/07 13:09,,1,,Inactive,,Publish,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 15:04,5/17/07 15:04,10/31/07 13:09,,1,,Inactive,,Publish,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/07 15:06,5/17/07 15:06,,,1,,Inactive,,Publish,,,,
3,637,Broadway Market,"<p>&ldquo;The center of Seattle&rsquo;s best see-and-be-seen shopping scene,&rdquo; as hailed by Seattle&rsquo;s Best Places, Broadway Market has undeniable appeal. Broadway Market combines the comfort of a neighborhood village with an urban marketplace. Broadway Market is made up of retailers such as Urban Outfitters, upscale grocery store QFC, and Gold&rsquo;s Gym.</p><p><a href=""/files/leasing_brochures/Broadway%20Market%20-%20Custom%20Brochure.pdf"">Download Leasing Brochure</a></p><p><a href=""/files/fact_sheets/Broadway_Market_FS_FEB2013.pdf"">Download Fact Sheet</a></p><p><a href=""/files/site_plans/Broadway%20Market_SP2013.pdf"">Download Site Plan</a></p><p>&nbsp;</p><div><object width=""300"" height=""225"" data=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" type=""application/x-shockwave-flash""><param name=""flashvars"" value=""offsite=true&amp;lang=en-us&amp;page_show_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157621654878277%2Fshow%2F&amp;page_show_back_url=%2Fphotos%2Fmadisonmarquette%2Fsets%2F72157621654878277%2F&amp;set_id=72157621654878277&amp;jump_to="" /><param name=""allowfullscreen"" value=""true"" /><param name=""src"" value=""http://www.flickr.com/apps/slideshow/show.swf?v=71649"" /></object></div>",,401 Broadway E,Seattle,98102,57,http://www.shopbroadwaymarket.com,109877,,-122.3208205,47.622149,415-277-6880,Steve Fahrbach,,Steve.Fahrbach@MadisonMarquette.com,,,Owned,Madison Owned,Urban/Specialty,"Seattle-Tacoma, WA",1987,2000,"17,319",100%,,Oct-99,,,2/12/13 20:26,,104,44,2/12/13 20:26,Published,,Publish,,-184,-289,http://www.flickr.com/photos/madisonmarquette/sets/72157621654878277/show/
304,,Midway Mall,"<p>Midway Mall serves as the only enclosed regional mall in Lorain County. The mall attracts much of its customer base from the western suburbs of the greater Cleveland market.&nbsp;Located within the city of Elyria, which is the western most suburb to the city of Cleveland, 30 miles west.&nbsp;The center possesses excellent regional access as the neighborhood is between Interstate 90 and 80 to the north and south respectively.</p><p><a href=""/files/site_plans/MIDWAY_LEASE_12_3_12.pdf"">Download Site Plan</a></p><p><a href=""/files/fact_sheets/Midway_Mall_FactSheet.pdf"">Download Fact Sheet</a></p>",,3343 Midway Mall,Elyria,44035,42,http://www.midwaymallshopping.com,1,,,,817-238-3638,Denise Browning,,Denise.Browning@MadisonMarquette.com,,,Managed,3rd Party,Enclosed,,1966,1990 Expansion,,,,,,7/4/12 11:06,12/20/12 10:38,,80,20,12/20/12 10:38,Published,,Publish,,-55,173,
4,679,900 7th Street,,,900 7th Street,Washington,,1,,18000,,,,,Eric Rubin,,erubin@madisonretail.com,,,,3rd Party,,,,,,0.000000000,The John Akridge Companies,,,,5/17/07 13:31,5/17/07 13:31,,1,,Published,,Publish,,,,
